# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
0.326         	GAMG	8.249730e-01	3.134220e-03	1	true
0.327         	GAMG	8.251060e-01	3.128400e-03	1	true
0.328         	GAMG	8.252380e-01	3.122620e-03	1	true
0.329         	GAMG	8.253690e-01	3.116900e-03	1	true
0.33          	GAMG	8.254990e-01	3.111190e-03	1	true
0.331         	GAMG	8.256280e-01	3.105540e-03	1	true
0.332         	GAMG	8.257560e-01	3.099920e-03	1	true
0.333         	GAMG	8.258830e-01	3.094360e-03	1	true
0.334         	GAMG	8.260090e-01	3.088800e-03	1	true
0.335         	GAMG	8.261330e-01	3.083300e-03	1	true
0.336         	GAMG	8.262580e-01	3.077840e-03	1	true
0.337         	GAMG	8.263800e-01	3.072420e-03	1	true
0.338         	GAMG	8.265020e-01	3.067030e-03	1	true
0.339         	GAMG	8.266230e-01	3.061670e-03	1	true
0.34          	GAMG	8.267430e-01	3.056350e-03	1	true
0.341         	GAMG	8.268620e-01	3.051070e-03	1	true
0.342         	GAMG	8.269800e-01	3.045830e-03	1	true
0.343         	GAMG	8.270970e-01	3.040620e-03	1	true
0.344         	GAMG	8.272140e-01	3.035440e-03	1	true
0.345         	GAMG	8.273290e-01	3.030300e-03	1	true
0.346         	GAMG	8.274430e-01	3.025180e-03	1	true
0.347         	GAMG	8.275570e-01	3.020120e-03	1	true
0.348         	GAMG	8.276700e-01	3.015070e-03	1	true
0.349         	GAMG	8.277810e-01	3.010060e-03	1	true
0.35          	GAMG	8.278920e-01	3.005080e-03	1	true
0.351         	GAMG	8.280020e-01	3.000150e-03	1	true
0.352         	GAMG	8.281120e-01	2.995230e-03	1	true
0.353         	GAMG	8.282200e-01	2.990350e-03	1	true
0.354         	GAMG	8.283280e-01	2.985500e-03	1	true
0.355         	GAMG	8.284350e-01	2.980690e-03	1	true
0.356         	GAMG	8.285410e-01	2.975910e-03	1	true
0.357         	GAMG	8.286470e-01	2.971170e-03	1	true
0.358         	GAMG	8.287510e-01	2.966440e-03	1	true
0.359         	GAMG	8.288550e-01	2.961750e-03	1	true
0.36          	GAMG	8.289590e-01	2.957090e-03	1	true
0.361         	GAMG	8.290610e-01	2.952460e-03	1	true
0.362         	GAMG	8.291630e-01	2.947860e-03	1	true
0.363         	GAMG	8.292640e-01	2.943290e-03	1	true
0.364         	GAMG	8.293650e-01	2.938740e-03	1	true
0.365         	GAMG	8.294640e-01	2.934230e-03	1	true
0.366         	GAMG	8.295630e-01	2.929740e-03	1	true
0.367         	GAMG	8.296610e-01	2.925280e-03	1	true
0.368         	GAMG	8.297580e-01	2.920860e-03	1	true
0.369         	GAMG	8.298540e-01	2.916450e-03	1	true
0.37          	GAMG	8.299500e-01	2.912080e-03	1	true
0.371         	GAMG	8.300450e-01	2.907740e-03	1	true
0.372         	GAMG	8.301400e-01	2.903420e-03	1	true
0.373         	GAMG	8.302340e-01	2.899130e-03	1	true
0.374         	GAMG	8.303270e-01	2.894860e-03	1	true
0.375         	GAMG	8.304200e-01	2.890630e-03	1	true
0.376         	GAMG	8.305120e-01	2.886400e-03	1	true
0.377         	GAMG	8.306030e-01	2.882220e-03	1	true
0.378         	GAMG	8.306940e-01	2.878060e-03	1	true
0.379         	GAMG	8.307840e-01	2.873930e-03	1	true
0.38          	GAMG	8.308730e-01	2.869830e-03	1	true
0.381         	GAMG	8.309620e-01	2.865740e-03	1	true
0.382         	GAMG	8.310510e-01	2.861670e-03	1	true
0.383         	GAMG	8.311390e-01	2.857640e-03	1	true
0.384         	GAMG	8.312260e-01	2.853630e-03	1	true
0.385         	GAMG	8.313130e-01	2.849640e-03	1	true
0.386         	GAMG	8.313990e-01	2.845690e-03	1	true
0.387         	GAMG	8.314850e-01	2.841750e-03	1	true
0.388         	GAMG	8.315700e-01	2.837830e-03	1	true
0.389         	GAMG	8.316540e-01	2.833940e-03	1	true
0.39          	GAMG	8.317380e-01	2.830080e-03	1	true
0.391         	GAMG	8.318210e-01	2.826230e-03	1	true
0.392         	GAMG	8.319040e-01	2.822410e-03	1	true
0.393         	GAMG	8.319860e-01	2.818620e-03	1	true
0.394         	GAMG	8.320680e-01	2.814840e-03	1	true
0.395         	GAMG	8.321490e-01	2.811090e-03	1	true
0.396         	GAMG	8.322300e-01	2.807360e-03	1	true
0.397         	GAMG	8.323100e-01	2.803660e-03	1	true
0.398         	GAMG	8.323900e-01	2.799970e-03	1	true
0.399         	GAMG	8.324690e-01	2.796310e-03	1	true
0.4           	GAMG	8.325480e-01	2.792670e-03	1	true
0.401         	GAMG	8.326260e-01	2.789050e-03	1	true
0.402         	GAMG	8.327040e-01	2.785450e-03	1	true
0.403         	GAMG	8.327810e-01	2.781870e-03	1	true
0.404         	GAMG	8.328580e-01	2.778310e-03	1	true
0.405         	GAMG	8.329340e-01	2.774780e-03	1	true
0.406         	GAMG	8.330100e-01	2.771260e-03	1	true
0.407         	GAMG	8.330850e-01	2.767760e-03	1	true
0.408         	GAMG	8.331610e-01	2.764290e-03	1	true
0.409         	GAMG	8.332350e-01	2.760830e-03	1	true
0.41          	GAMG	8.333090e-01	2.757410e-03	1	true
0.411         	GAMG	8.333830e-01	2.753980e-03	1	true
0.412         	GAMG	8.334560e-01	2.750590e-03	1	true
0.413         	GAMG	8.335290e-01	2.747220e-03	1	true
0.414         	GAMG	8.336020e-01	2.743860e-03	1	true
0.415         	GAMG	8.336740e-01	2.740530e-03	1	true
0.416         	GAMG	8.337450e-01	2.737210e-03	1	true
0.417         	GAMG	8.338170e-01	2.733910e-03	1	true
0.418         	GAMG	8.338880e-01	2.730630e-03	1	true
0.419         	GAMG	8.339580e-01	2.727370e-03	1	true
0.42          	GAMG	8.340280e-01	2.724130e-03	1	true
0.421         	GAMG	8.340980e-01	2.720910e-03	1	true
0.422         	GAMG	8.341680e-01	2.717700e-03	1	true
0.423         	GAMG	8.342370e-01	2.714510e-03	1	true
0.424         	GAMG	8.343050e-01	2.711340e-03	1	true
0.425         	GAMG	8.343740e-01	2.708190e-03	1	true
0.426         	GAMG	8.344420e-01	2.705050e-03	1	true
0.427         	GAMG	8.345090e-01	2.701940e-03	1	true
0.428         	GAMG	8.345760e-01	2.698840e-03	1	true
0.429         	GAMG	8.346430e-01	2.695760e-03	1	true
0.43          	GAMG	8.347090e-01	2.692690e-03	1	true
0.431         	GAMG	8.347760e-01	2.689640e-03	1	true
0.432         	GAMG	8.348410e-01	2.686610e-03	1	true
0.433         	GAMG	8.349070e-01	2.683600e-03	1	true
0.434         	GAMG	8.349720e-01	2.680600e-03	1	true
0.435         	GAMG	8.350370e-01	2.677620e-03	1	true
0.436         	GAMG	8.351010e-01	2.674650e-03	1	true
0.437         	GAMG	8.351650e-01	2.671710e-03	1	true
0.438         	GAMG	8.352290e-01	2.668780e-03	1	true
0.439         	GAMG	8.352930e-01	2.665860e-03	1	true
0.44          	GAMG	8.353560e-01	2.662960e-03	1	true
0.441         	GAMG	8.354190e-01	2.660080e-03	1	true
0.442         	GAMG	8.354810e-01	2.657210e-03	1	true
0.443         	GAMG	8.355440e-01	2.654370e-03	1	true
0.444         	GAMG	8.356060e-01	2.651520e-03	1	true
0.445         	GAMG	8.356670e-01	2.648700e-03	1	true
0.446         	GAMG	8.357290e-01	2.645890e-03	1	true
0.447         	GAMG	8.357900e-01	2.643100e-03	1	true
0.448         	GAMG	8.358510e-01	2.640330e-03	1	true
0.449         	GAMG	8.359110e-01	2.637570e-03	1	true
0.45          	GAMG	8.359710e-01	2.634830e-03	1	true
0.451         	GAMG	8.360310e-01	2.632090e-03	1	true
0.452         	GAMG	8.360910e-01	2.629370e-03	1	true
